,losses,rf,ridge,svr
0,loss_min_99_1.0,22.7439337392,0.50860902371,1.73935549614
1,loss_min_90_1.0,18.9244438115,0.389330188305,5.69679091433
2,loss_min_95_1.0,21.9595474882,0.506981135198,2.525082328
3,loss_avg_99_1.0,22.5847442487,1.02436592845,1.35072363884
4,mse_1.0,24.9999998658,0.0,3.21972599312e-07
5,loss_avg_95_1.0,22.5194441724,0.0176035701202,2.44706691696
6,loss_avg_90_1.0,24.200790731,4.15847414154e-12,0.803352885841
7,loss_min_99_0.9,9.37666060611,8.04188658874,7.60762983808
8,loss_min_90_0.9,9.37982259928,10.2479218185,5.37122902191
9,loss_min_95_0.9,5.7814829362,12.2218496307,6.99869262563
10,loss_avg_99_0.9,11.8382442062,2.80686803799,10.3188549414
11,mse_0.9,22.6427065217,1.50693420209e-131,2.34794103645
12,loss_avg_95_0.9,12.7521982535,2.29682960066,9.95507480602
13,loss_avg_90_0.9,11.4621287907,0.999936436174,12.5566404129
14,loss_min_99_0.8,7.26194219379,11.4457455434,6.27883763654
15,loss_min_90_0.8,1.67139130426,15.4617119794,7.87090248619
16,loss_min_95_0.8,3.99981768057,15.0809152708,5.91879896776
17,loss_avg_99_0.8,8.49737533891,7.44578103038,9.02013523267
18,mse_0.8,15.9775228484,3.87438110591e-07,9.02644815942
19,loss_avg_95_0.8,6.31377140138,6.82320820624,11.8833567719
20,loss_avg_90_0.8,4.981636868,6.36783364938,13.6411511073
21,loss_min_99_0.6,3.0726013523,13.3421678045,8.58287517521
22,loss_min_90_0.6,0.999721914887,16.5305069419,7.46684690531
23,loss_min_95_0.6,1.02234470559,17.2311357708,6.75284831471
24,loss_avg_99_0.6,6.27244600857,10.985981688,7.75022687036
25,mse_0.6,2.8173023138,3.89204746813,18.2859822469
26,loss_avg_95_0.6,1.70638193128,11.6779001324,11.6251184096
27,loss_avg_90_0.6,1.45377463198,10.3341436411,13.2810592446
28,loss_min_99_0.4,2.40401781789,12.0725982895,10.4696796693
29,loss_min_90_0.4,0.805573499369,18.2027743671,6.03018968734
30,loss_min_95_0.4,0.0164602271221,17.9023674231,7.11737231676
31,loss_avg_99_0.4,5.39241332313,9.51089853454,10.0722894365
32,mse_0.4,2.00432629131,1.00000000036,21.9947970504
33,loss_avg_95_0.4,2.8454177796,10.6098189252,11.4986090977
34,loss_avg_90_0.4,0.0505585752963,11.0444811335,13.9079700749
